States,ItemLabels,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20
ANAMBRA,"Gari white,sold loose / 1Kg",117.990265,129.38063,122.71764,139.25958,156.98215,177.17155,194.10735,215.54958,201.1516071,193.72595,196.96985,247.23187,250.46666,243.27856,287.63712,288.10156,296.09442,314.88205,295.97208,274.85483,259.86102,216.717,194.55133,187.46823,209.83386,174.04414,170.05602,164.9316,170.41457,171.02708,168.30066,166.97272,165.81981,156.969051,157.75389,139.99307,140.70576,145.21593,141.8352,149.62502,149.1936,137.66234,141.52005,143.45,135.83434,149.3343478,145.98,144.59,150.8711485,162.8980328,167.047619,173.1331051
ANAMBRA,"Gari yellow,sold loose / 1Kg",136.85646,134.02214,143.48439,167.73833,206.4587,211.57341,197.55954,224.06606, ,226.39484,240.91669,242.96666,265.31418,305.895,334.97092,354.20517,358.18118,411.19492,391.40594,311.38666,326.9075,299.62347,258.78677,241.5577,249.24295,219.5555,202.14081,201.09444,221.4636,215.02646,211.37628,226.98975,201.70142,200.3229526,201.32457,174.86772,177.18729,174.05785,178.0859,184.33862,189.84708,159.54546,156.82298,162.39,153.78952,164.8828,178.7,168.47,172.8909495,185.7402135,208.1349206,209.2376081
ANAMBRA,"Groundnut oil: 1 bottle, specify bottle",,,,,,,,,,,,,416.44,433.33,466.67,466.67,485.5,483.72,466.67,441.66,432.74,484.44,492.0025,490.55,492.22223,511.1111,526,550,606.6667,666.6667,657.4762,642.8571,646.6667,647.2486667,652.42664,703.3333,673.3333,700,686.6667,683.3333,652.7783,700,655.55554,666.66,654.2857,633.335,701.44,733.33,702.3055556,683.3333333,640,725
ANAMBRA,Iced Sardine,,,,,,,,,,,,,1275.49,1035.715,1163.53,1054.51,1028.6162,1078.5,1053.575,986.49,892.2222,981.1896,954.505,942.8571,977.19135,1016.2281,976.4216,1031.8182,936.6667,980.2632,1017.2386,1071.4286,1022.2222,1000,1000,964.2473,1000,1042.0168,1172.2689,1203.8235,1192.7766,1172.359,1125.4902,1154.9,1088.8889,1131.06,1138.97742,1169.29,1166.666667,1155.853712,1106.060606,1122.222222
ANAMBRA,Irish potato,,,,,,,,,,,,,205.925,200.535,207.475,201.495,203.9044,200.52,201.11,200,194.19913,177.14285,173.90454,171.5,157.62685,163.63637,287.29947,305.26273,345.2381,357.27274,356.60495,380.28674,329.44446,362.8571429,350,400.4329,395,400.6985,383.37662,401.04166,462.65668,431.42856,377.29202,396.03,354.7619,342.6444444,418.75,418.97,367.1957672,359.5238095,350.1984127,407.342437
ANAMBRA,Mackerel : frozen,,,,,,,,,,,,,1053.42,978.01935,784.28,771.9721,982.01825,985,1095.23,1007.805,996.7191,929.1457,935.044,930.55554,923.0769,873.72217,942.91693,949.4887,915.7255,937.89386,918.3132,933.70264,948.6229,949.286976,956.8813,988.8365,960.0732,934.03467,977.6367,1019.3031,931.286,977.6961,942.65173,908.63,915.45123,918.1709091,990.47,964.06,1029.863535,989.4410613,1017.47117,1060.533911
ANAMBRA,Maize grain white sold loose,,,,,,,,,,,,,247.17,216.33,236.12,245.04,244.79,283.62,252.16,255.25,232.17,284.04,271.20966,270.7298,268.81128,246.60837,245.21417,247.31482,243.88889,246.03128,240.01587,246.14815,244.07408,244.2937407,246.2481,249.79424,247.50958,236.22223,241.35803,243.33333,231.41,236.36363,232.52689,215.55,211.39847,220.9990909,214.21,243.75,245.7407407,234.8659004,241.8730159,248.7922705
ANAMBRA,Maize grain yellow sold loose,,,,,,,,,,,,,238.01,226.63,238.84,245.9,249.23,283.53,255.36,254.64,224.66,283.95,268.03424,265.6953,268.45978,248.15874,251.73962,256.5203,244.73685,240.96321,239.9177,237.69994,240.38461,240.5288462,242.45308,240.38461,259.62964,238.22223,243.09583,244.23868,236.15913,236.36363,230,217.77,221.2963,223.1108,217.54,247.73,237.3148148,228.0753968,237.9227053,251.6666667
ANAMBRA,Mudfish (aro) fresh / 1Kg,785.33,787.686,790.0491,792.4192,794.79645,797.18085,799.5724,801.9711,804.377015,901.74066,904.44586,907.15924,912.76,950.11,951.435,955,966.78,950.21,958.495,966.15,966.2273,968,969,965.88,884.2175,884.7481,885.5444,886.0757,886.78455,900.6428,920.56,921.11237,951.2643,952.0253114,956.78546,980.45,980.58734,988.432,1000.83264,1058.6423,1064.9943,1017.4603,1002.16,1002.8615,1006.25,1014.3,1021.4001,1029.571301,1016.846231,1023.964155,1050.5,1058.904
ANAMBRA,Mudfish : dried / 1Kg,2057.14,2222.22,1866.67,1866.7,1871.7001,2222.22,1842.11,1966.67,1966.67,2375.9077,2383.0354,2390.1846,2408.93,2345.78,2400,2420,2557.08,2590.3225,3200,2666.67,2685.7144,2666.6667,2078.495,2066.6667,1919.7422,2148.1482,2156.8628,2120.5828,2266.6667,2318.5186,2369.6147,2400,2266.2725,2268.085409,2279.4258,2404.762,2520.238,2433.3333,2392.6553,2183.533,2252.44,2215.519,2172.2222,2200.66,2200.01,2257.95,2313.33,2333.33,2265.567766,2296.463129,2254.615385,2190.18315
